Pollinator_species,SEX,Interaction,Site_id,Plant_species,Year,Month,Day,Locality,Latitude,Longitude,Habitat,Sampling_method,Sampling_effort_minutes,Country,Sampling_area_square_meters
Colletes hederae,M,2,Terril n°5 de Trazegnie site 1,Melilotus alba,2020,9,7,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Colletes hederae,M,3,Terril n°5 de Trazegnie site 1,Reynoutria japonica,2020,9,7,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Colletes hederae,M,3,Terril Saint-Antoine site 1,Medicago sativa,2020,9,10,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Colletes hederae,F,1,Beaulieu,Geranium nodosum,2020,9,5,Mons,50.4498,4.0607,Rudéral,Transect,20,Belgium,
Colletes similis,F,1,Terril Saint-Antoine site 1,Tanacetum vulgare,2020,8,7,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Colletes similis,M,1,Terril Saint-Antoine site 1,Tanacetum vulgare,2020,8,7,Boussu,50.4135,3.7723,Terril,Transect,20,Belgium,
Colletes similis,F,1,Terril Bayemont-Saint-Charles,Picris hieracioides,2020,9,7,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Halictus scabiosae,F,1,Terril Bayemont-Saint-Charles,Picris hieracioides,2020,9,7,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Halictus scabiosae,M,2,Terril Bayemont-Saint-Charles,Picris hieracioides,2020,9,7,Charleroi,50.4206,4.4064,Terril,Transect,20,Belgium,
Colletes similis,F,1,Terril du Quesnoy site 2,Hypericum perforatum,2020,6,28,La Louvière,50.4558,4.1356,Terril,Transect,20,Belgium,
Colletes similis,F,3,Terril Belle vue du huit,Tanacetum vulgare,2020,9,16,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Colletes daviesanus,F,2,Terril Belle vue du huit,Tanacetum vulgare,2020,9,16,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Colletes similis,F,1,Terril du dix-huit,Leucanthemum vulgare,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Epeolus variegatus,F,1,Terril du dix-huit,Leucanthemum vulgare,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Andrena flavipes,F,1,Terril du dix-huit,Leucanthemum vulgare,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Hylaeus signatus,F,2,Terril du dix-huit,Leucanthemum vulgare,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Colletes daviesanus,M,2,Terril n°5 de Trazegnie site 1,Tanacetum vulgare,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Colletes daviesanus,M,6,Terril Belle vue du huit,Tanacetum vulgare,2020,8,7,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Colletes daviesanus,F,1,Terril Belle vue du huit,Tanacetum vulgare,2020,8,7,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Seladonia tumulorum,M,1,Terril Belle vue du huit,Tanacetum vulgare,2020,8,7,Dour,50.3936,3.7552,Terril,Transect,20,Belgium,
Colletes daviesanus,F,1,Terril du dix-huit,Rubus sp.,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,1,Terril du dix-huit,Rubus sp.,2020,5,21,Boussu,50.4175,3.8267,Terril,Transect,20,Belgium,
Colletes daviesanus,F,1,Terril n°5 de Trazegnie site 1,Tanacetum vulgare,2020,8,10,Courcelles,50.4616,4.3151,Terril,Transect,20,Belgium,
Colletes daviesanus,F,1,Terril du Ferrand,Tanacetum vulgare,2020,8,7,Dour,50.3978,3.7414,Terril,Transect,20,Belgium,
Halictus scabiosae,M,1,Terril du Ferrand,Tanacetum vulgare,2020,8,7,Dour,50.3978,3.7414,Terril,Transect,20,Belgium,
Lasioglossum villosulum,M,1,Les Etangs,Chaerophyllum temulentum,2020,7,23,La Louvière,50.4573,4.1125,Parc,Transect,20,Belgium,
Lasioglossum pauxillum,M,1,Les Etangs,Chaerophyllum temulentum,2020,7,23,La Louvière,50.4573,4.1125,Parc,Transect,20,Belgium,
Hylaeus communis,F,1,Les Etangs,Chaerophyllum temulentum,2020,7,23,La Louvière,50.4573,4.1125,Parc,Transect,20,Belgium,
Hylaeus dilatatus,F,1,Terril Saint-Antoine site 3,Solidago sp.,2020,8,7,Boussu,50.415,3.7651,Terril,Transect,20,Belgium,
Hylaeus communis,M,1,Terril Saint-Antoine site 3,Solidago sp.,2020,8,7,Boussu,50.415,3.7651,Terril,Transect,20,Belgium,
Colletes daviesanus,F,2,Les Etangs,Tanacetum vulgare,2020,9,5,La Louvière,50.4573,4.1125,Parc,Transect,20,Belgium,
