;PlatsID;Season;Order;Pollinator_individuals;ML;Visit;Insect;Transect_Grassland;flw_visited_by_pollin;pollin_species;Site_name
76;4;2012;Hymenoptera;1;M;5;17;D;Trifolium_medium;Bombus_lucorum;Paris_Vange
77;4;2012;Diptera;1;M;2;1;A;;Dasysyrphus_venustus;Paris_Vange
78;4;2012;Hymenoptera;1;M;5;14;C;Galium_verum;Bombus_pascuorum;Paris_Vange
79;4;2012;Hymenoptera;1;M;4;12;B;Trifolium_medium;Bombus_lucorum;Paris_Vange
80;4;2012;Hymenoptera;1;M;4;10;C;Lotus_corniculatus;Bombus_pascuorum;Paris_Vange
81;4;2012;Hymenoptera;1;M;4;11;B;;Bombus_pascuorum;Paris_Vange
82;4;2012;Hymenoptera;1;M;3;8;D;;Bombus_pascuorum;Paris_Vange
83;4;2012;Diptera;3;M;2;7;D;;Pipizella_viduata;Paris_Vange
84;4;2012;Hymenoptera;1;M;5;7;A;Trifolium_medium;Bombus_lapidarius;Paris_Vange
85;4;2012;Hymenoptera;1;M;4;6;C;Trifolium_medium;Bombus_ruderarius;Paris_Vange
86;4;2012;Hymenoptera;3;M;5;12;C;Trifolium_medium;Bombus_pascuorum;Paris_Vange
87;4;2012;Hymenoptera;1;M;4;14;D;Lathyrus_linifolius;Bombus_pascuorum;Paris_Vange
88;4;2012;Diptera;1;M;5;6;A;;Eristalis_interrupta;Paris_Vange
89;4;2012;Diptera;1;M;2;3;A;Ranunculus_bulbosus;Dasysyrphus_pinastri;Paris_Vange
90;4;2012;Hymenoptera;1;M;4;4;A;Trifolium_medium;Bombus_ruderarius;Paris_Vange
91;4;2012;Diptera;1;M;2;11;B;;Helophilus_pendulus;Paris_Vange
92;4;2012;Hymenoptera;1;M;5;9;A;;Bombus_pascuorum;Paris_Vange
93;4;2012;Diptera;2;M;3;5;C;;Eristalis_lineata;Paris_Vange
94;4;2012;Hymenoptera;2;M;5;5;A;Trifolium_medium;Bombus_lapidarius;Paris_Vange
95;4;2012;Hymenoptera;1;M;2;10;B;;Bombus_ruderarius;Paris_Vange
96;4;2012;Diptera;1;M;5;3;A;Achillea_millefolium;Eristalis_interrupta;Paris_Vange
97;4;2012;Hymenoptera;2;M;4;9;C;;Bombus_pascuorum;Paris_Vange
98;4;2012;Hymenoptera;1;M;5;16;B;Trifolium_medium;Bombus_pascuorum;Paris_Vange
99;4;2012;Diptera;1;M;5;11;C;;Pipizella_viduata;Paris_Vange
100;4;2012;Hymenoptera;1;M;5;19;D;Trifolium_medium;Bombus_lucorum;Paris_Vange
101;4;2012;Diptera;NA;L;1;5;A;;Melanostoma_mellinum;Paris_Vange
102;4;2012;Diptera;1;M;2;9;D;;Melanostoma_mellinum;Paris_Vange
103;4;2012;Diptera;1;M;5;15;C;Ranunculus_acris;Eristalis_interrupta;Paris_Vange
104;4;2012;Hymenoptera;1;M;5;18;D;Trifolium_medium;Bombus_lapidarius;Paris_Vange
105;4;2012;Diptera;1;M;3;2;A;Anthriscus_sylvestris;Eristalis_pseudorupium;Paris_Vange
106;4;2012;Hymenoptera;1;M;5;1;A;Trifolium_medium;Bombus_lapidarius;Paris_Vange
107;4;2012;Diptera;1;M;1;1;C;Taraxacum_sp;Dasysyrphus_pinastri;Paris_Vange
108;4;2012;Diptera;1;M;4;7;C;Achillea_millefolium;Eristalis_interrupta;Paris_Vange
109;4;2012;Hymenoptera;1;M;2;8;D;Vicia_sepium;Bombus_pascuorum;Paris_Vange
110;4;2012;Diptera;1;M;2;6;D;;Syrphus_ribesii;Paris_Vange
111;4;2012;Hymenoptera;2;M;4;1;A;;Bombus_ruderarius;Paris_Vange
112;4;2012;Diptera;1;M;5;10;A;Achillea_millefolium;Helophilus_pendulus;Paris_Vange
113;4;2012;Hymenoptera;1;M;4;13;D;Potentilla_erecta;Bombus_pascuorum;Paris_Vange
114;4;2012;Diptera;1;M;3;1;A;;Helophilus_pendulus;Paris_Vange
115;5;2012;Diptera;1;M;4;9;B;;Episyrphus_balteatus;Tjalinge_Skogstibble
116;5;2012;Hymenoptera;1;M;5;27;D;Hieracium_umbellatum;Bombus_lucorum;Tjalinge_Skogstibble
117;5;2012;Hymenoptera;1;M;1;1;A;Lathyrus_linifolius;Bombus_ruderarius;Tjalinge_Skogstibble
118;5;2012;Diptera;1;M;5;18;C;Pimpinella_saxifraga;Episyrphus_balteatus;Tjalinge_Skogstibble
119;5;2012;Hymenoptera;1;M;4;5;A;;Bombus_lucorum;Tjalinge_Skogstibble
120;5;2012;Diptera;1;M;2;9;C;Sorbus_aucuparia;Helophilus_pendulus;Tjalinge_Skogstibble
121;5;2012;Diptera;1;M;5;25;D;;Episyrphus_balteatus;Tjalinge_Skogstibble
122;5;2012;Diptera;1;M;5;30;D;Hieracium_umbellatum;Episyrphus_balteatus;Tjalinge_Skogstibble
123;5;2012;Diptera;1;M;4;14;C;Hypericum_maculatum;Syrphus_vitripennis;Tjalinge_Skogstibble
124;5;2012;Hymenoptera;1;M;4;12;C;Hypericum_maculatum;Bombus_lucorum;Tjalinge_Skogstibble
125;5;2012;Hymenoptera;1;M;3;28;C;Pilosella_officinarum;Lasioglossum_punctatissimum;Tjalinge_Skogstibble
126;5;2012;Diptera;1;M;5;5;A;Galium_verum;Episyrphus_balteatus;Tjalinge_Skogstibble
127;5;2012;Hymenoptera;1;M;3;9;C;Lychnis_flos-cuculi;Lasioglossum_leucopus;Tjalinge_Skogstibble
128;5;2012;Hymenoptera;1;M;3;34;D;;Andrena_fulvago;Tjalinge_Skogstibble
129;5;2012;Hymenoptera;1;M;3;6;C;Rosa_dumalis;Apis_mellifera;Tjalinge_Skogstibble
130;5;2012;Diptera;1;M;3;21;C;;Eristalis_interrupta;Tjalinge_Skogstibble
131;5;2012;Diptera;1;M;5;15;C;;Episyrphus_balteatus;Tjalinge_Skogstibble
132;5;2012;Hymenoptera;1;M;2;3;A;Viola_riviniana;Nomada_flavoguttata;Tjalinge_Skogstibble
133;5;2012;Diptera;1;M;5;4;A;;Syrphus_ribesii;Tjalinge_Skogstibble
134;5;2012;Diptera;1;M;3;30;C;;Helophilus_pendulus;Tjalinge_Skogstibble
135;5;2012;Hymenoptera;1;M;3;11;C;Trifolium_medium;Apis_mellifera;Tjalinge_Skogstibble
136;5;2012;Hymenoptera;1;M;1;5;C;Sambucus_nigra;Bombus_ruderarius;Tjalinge_Skogstibble
137;5;2012;Hymenoptera;1;M;4;8;B;;Bombus_lucorum;Tjalinge_Skogstibble
138;5;2012;Diptera;1;M;2;16;D;;Megasyrphus_erraticus;Tjalinge_Skogstibble
139;5;2012;Hymenoptera;1;M;3;16;C;Trifolium_medium;Bombus_subterraneus;Tjalinge_Skogstibble
140;5;2012;Hymenoptera;1;M;3;31;D;Ranunculus_acris;Chelostoma_florisomne;Tjalinge_Skogstibble
141;5;2012;Hymenoptera;1;M;3;4;C;Rosa_dumalis;Bombus_hypnorum;Tjalinge_Skogstibble
142;5;2012;Diptera;1;M;4;13;C;;Sphaerophoria_scripta;Tjalinge_Skogstibble
143;5;2012;Hymenoptera;1;M;2;14;D;Lathyrus_linifolius;Bombus_pascuorum;Tjalinge_Skogstibble
144;5;2012;Diptera;1;M;3;22;C;;Eristalis_interrupta;Tjalinge_Skogstibble
145;5;2012;Hymenoptera;2;M;3;2;A;;Apis_mellifera;Tjalinge_Skogstibble
146;5;2012;Hymenoptera;1;M;3;19;C;Rosa_dumalis;Apis_mellifera;Tjalinge_Skogstibble
147;5;2012;Diptera;1;M;4;2;A;;Syrphus_ribesii;Tjalinge_Skogstibble
148;5;2012;Diptera;1;M;5;9;B;Pimpinella_saxifraga;Myathropa_florea;Tjalinge_Skogstibble
149;5;2012;Diptera;1;M;4;17;C;Hypericum_maculatum;Syrphus_vitripennis;Tjalinge_Skogstibble
150;5;2012;Diptera;1;M;5;26;D;Hypericum_maculatum;Episyrphus_balteatus;Tjalinge_Skogstibble
151;5;2012;Diptera;1;M;5;34;D;;Episyrphus_balteatus;Tjalinge_Skogstibble
152;5;2012;Diptera;1;M;5;32;D;;Episyrphus_balteatus;Tjalinge_Skogstibble
153;5;2012;Hymenoptera;1;M;5;2;A;Campanula_rotundifolia;Bombus_pratorum;Tjalinge_Skogstibble
154;5;2012;Diptera;1;M;4;18;C;;Sphaerophoria_scripta;Tjalinge_Skogstibble
155;5;2012;Hymenoptera;1;M;5;16;C;Centaurea_jacea;Bombus_pascuorum;Tjalinge_Skogstibble
156;5;2012;Diptera;1;M;5;17;C;Centaurea_jacea;Syrphus_ribesii;Tjalinge_Skogstibble
157;5;2012;Hymenoptera;1;M;4;15;C;;Bombus_lucorum;Tjalinge_Skogstibble
158;5;2012;Hymenoptera;1;M;1;2;A;Lathyrus_linifolius;Bombus_pascuorum;Tjalinge_Skogstibble
159;5;2012;Diptera;1;M;5;7;A;;Megasyrphus_erraticus;Tjalinge_Skogstibble
160;5;2012;Diptera;1;M;3;25;C;;Sericomyia_silentis;Tjalinge_Skogstibble
161;5;2012;Hymenoptera;1;M;2;13;D;Geranium_sylvaticum;Apis_mellifera;Tjalinge_Skogstibble
162;5;2012;Diptera;1;M;2;11;C;;Syrphus_ribesii;Tjalinge_Skogstibble
163;5;2012;Diptera;1;M;4;6;B;Pilosella_officinarum;Sericomyia_silentis;Tjalinge_Skogstibble
164;5;2012;Hymenoptera;1;M;2;6;C;;Nomada_goodeniana;Tjalinge_Skogstibble
165;5;2012;Hymenoptera;1;M;3;15;C;Trifolium_medium;Bombus_hortorum;Tjalinge_Skogstibble
166;5;2012;Diptera;1;M;5;29;D;Hieracium_umbellatum;Episyrphus_balteatus;Tjalinge_Skogstibble
167;5;2012;Hymenoptera;3;M;4;11;C;Trifolium_medium;Bombus_lucorum;Tjalinge_Skogstibble
168;5;2012;Hymenoptera;1;M;3;1;A;;Bombus_pascuorum;Tjalinge_Skogstibble
169;5;2012;Diptera;1;M;5;23;C;;Eupeodes_corollae;Tjalinge_Skogstibble
170;5;2012;Hymenoptera;1;M;2;5;B;Lathyrus_linifolius;Bombus_pascuorum;Tjalinge_Skogstibble
171;5;2012;Hymenoptera;1;M;5;6;A;Hypericum_maculatum;Bombus_lucorum;Tjalinge_Skogstibble
172;5;2012;Hymenoptera;1;M;3;1;A;;Bombus_pascuorum;Tjalinge_Skogstibble
173;5;2012;Diptera;1;M;3;3;A;;Sericomyia_silentis;Tjalinge_Skogstibble
174;5;2012;Diptera;1;M;5;28;D;Hieracium_umbellatum;Episyrphus_balteatus;Tjalinge_Skogstibble
175;5;2012;Diptera;1;M;2;18;D;Sorbus_aucuparia;Helophilus_pendulus;Tjalinge_Skogstibble
176;5;2012;Hymenoptera;1;M;5;12;C;;Bombus_hortorum;Tjalinge_Skogstibble
177;5;2012;Hymenoptera;1;M;4;1;A;Trifolium_pratense;Bombus_lucorum;Tjalinge_Skogstibble
178;5;2012;Diptera;1;M;3;35;D;;Chrysotoxum_bicinctum;Tjalinge_Skogstibble
179;5;2012;Diptera;1;M;4;19;D;Ranunculus_acris;Syrphus_ribesii;Tjalinge_Skogstibble
180;5;2012;Diptera;1;M;5;10;C;;Syrphus_ribesii;Tjalinge_Skogstibble
181;7;2012;Diptera;1;M;3;5;A;Anthriscus_sylvestris;Tropidia_scita;Graneberg_Litslena
182;7;2012;Hymenoptera;1;M;5;10;D;Vicia_cracca;Bombus_sylvarum;Graneberg_Litslena
183;7;2012;Diptera;1;M;5;6;A;;Melanostoma_mellinum;Graneberg_Litslena
184;7;2012;Diptera;1;M;3;7;B;;Pipizella_viduata;Graneberg_Litslena
185;7;2012;Diptera;1;M;5;3;A;Galium_verum;Didea_intermedia;Graneberg_Litslena
186;7;2012;Diptera;1;M;5;14;D;Hypericum_maculatum;Syrphus_ribesii;Graneberg_Litslena
187;7;2012;Hymenoptera;1;M;1;1;A;Taraxacum_sp;Apis_mellifera;Graneberg_Litslena
188;7;2012;Diptera;1;M;5;12;D;;Eristalis_interrupta;Graneberg_Litslena
189;7;2012;Hymenoptera;1;M;2;1;A;Juniperus_communis;Andrena_wilkella;Graneberg_Litslena
190;7;2012;Hymenoptera;1;M;4;2;B;Vicia_cracca;Bombus_sylvarum;Graneberg_Litslena
191;7;2012;Hymenoptera;4;M;3;1;A;Stellaria_graminea;Apis_mellifera;Graneberg_Litslena
192;7;2012;Hymenoptera;1;M;5;5;A;;Apis_mellifera;Graneberg_Litslena
193;7;2012;Diptera;1;M;1;7;C;;Cheilosia_albitarsis;Graneberg_Litslena
194;7;2012;Diptera;1;M;1;6;C;;Melanostoma_mellinum;Graneberg_Litslena
195;7;2012;Diptera;1;M;5;4;A;;Sphaerophoria_scripta;Graneberg_Litslena
196;7;2012;Diptera;1;M;1;5;C;Ranunculus_acris;Melanostoma_mellinum;Graneberg_Litslena
197;7;2012;Diptera;1;M;1;9;D;;Cheilosia_uviformis;Graneberg_Litslena
198;7;2012;Diptera;2;M;1;4;C;;Syrphus_torvus;Graneberg_Litslena
199;7;2012;Hymenoptera;1;M;1;3;B;;Nomada_ruficornis;Graneberg_Litslena
200;7;2012;Hymenoptera;1;M;3;12;B;Geum_rivale;Bombus_ruderarius;Graneberg_Litslena
201;7;2012;Diptera;1;M;4;3;D;;Episyrphus_balteatus;Graneberg_Litslena
202;7;2012;Diptera;1;M;3;4;A;;Chrysotoxum_festivum;Graneberg_Litslena
203;7;2012;Diptera;1;M;1;10;D;;Melanostoma_mellinum;Graneberg_Litslena
204;8;2012;Hymenoptera;1;M;4;2;A;Trifolium_pratense;Bombus_pascuorum;Kungs_Husby
205;8;2012;Hymenoptera;1;M;2;3;A;Veronica_chamaedrys;Bombus_pratorum;Kungs_Husby
206;8;2012;Hymenoptera;1;M;3;1;D;Viscaria_vulgaris;Bombus_lapidarius;Kungs_Husby
207;8;2012;Hymenoptera;1;M;5;6;A;Trifolium_medium;Bombus_pascuorum;Kungs_Husby
208;8;2012;Diptera;1;M;2;4;A;;Helophilus_pendulus;Kungs_Husby
209;8;2012;Diptera;1;M;5;3;A;Dianthus_deltoides;Helophilus_pendulus;Kungs_Husby
210;8;2012;Hymenoptera;1;M;5;7;A;;Bombus_lucorum;Kungs_Husby
211;8;2012;Hymenoptera;1;M;1;2;A;;Nomada_lathburiana;Kungs_Husby
212;8;2012;Diptera;1;M;5;12;D;Hypericum_perforatum;Syrphus_vitripennis;Kungs_Husby
213;8;2012;Hymenoptera;1;M;5;1;A;Dianthus_deltoides;Bombus_pascuorum;Kungs_Husby
214;8;2012;Diptera;1;M;5;9;A;Trifolium_medium;Sphaerophoria_scripta;Kungs_Husby
215;8;2012;Diptera;1;M;4;1;A;;Eristalis_interrupta;Kungs_Husby
216;8;2012;Diptera;1;M;1;1;A;;Dasysyrphus_tricinctus;Kungs_Husby
217;8;2012;Diptera;1;M;2;9;B;;Sphaerophoria_virgata;Kungs_Husby
218;9;2012;Diptera;1;L;2;10;B;;Anasimyia_interpuncta;Tjarns_Hage
219;9;2012;Hymenoptera;1;L;4;3;A;;Andrena_wilkella;Tjarns_Hage
220;9;2012;Diptera;2;M;5;10;B;;Syrphus_ribesii;Tjarns_Hage
221;9;2012;Diptera;1;L;2;5;A;;Syrphus_torvus;Tjarns_Hage
222;9;2012;Hymenoptera;1;M;5;3;A;Trifolium_pratense;Bombus_terrestris;Tjarns_Hage
223;9;2012;Hymenoptera;1;L;5;1;A;;Megachile_versicolor;Tjarns_Hage
224;9;2012;Diptera;1;L;5;4;A;;Melanostoma_mellinum;Tjarns_Hage
225;9;2012;Diptera;1;L;2;1;D;;Xanthogramma_citrofasciatum;Tjarns_Hage
226;9;2012;Hymenoptera;1;M;3;3;C;;Bombus_lapidarius;Tjarns_Hage
227;9;2012;Hymenoptera;1;M;5;24;C;Trifolium_pratense;Bombus_lapidarius;Tjarns_Hage
228;9;2012;Diptera;2;M;5;14;C;;Syrphus_vitripennis;Tjarns_Hage
229;9;2012;Diptera;1;L;5;3;A;;Episyrphus_balteatus;Tjarns_Hage
230;9;2012;Diptera;2;L;3;9;B;;Volucella_bombylans;Tjarns_Hage
231;9;2012;Hymenoptera;1;L;2;2;B;;Apis_mellifera;Tjarns_Hage
232;9;2012;Diptera;1;M;4;2;A;Galium_album;Syrphus_torvus;Tjarns_Hage
233;9;2012;Hymenoptera;3;L;3;7;B;;Apis_mellifera;Tjarns_Hage
234;9;2012;Hymenoptera;3;L;4;3;F;;Apis_mellifera;Tjarns_Hage
235;9;2012;Hymenoptera;1;M;5;28;C;;Bombus_pascuorum;Tjarns_Hage
236;9;2012;Diptera;1;L;2;7;A;;Melanostoma_mellinum;Tjarns_Hage
237;9;2012;Diptera;1;M;5;5;A;;Episyrphus_balteatus;Tjarns_Hage
238;9;2012;Hymenoptera;1;L;1;2;D;;Nomada_moeschleri;Tjarns_Hage
239;9;2012;Hymenoptera;1;L;1;3;D;;Nomada_moeschleri;Tjarns_Hage
240;9;2012;Diptera;1;L;2;9;C;;Sphaerophoria_scripta;Tjarns_Hage
241;9;2012;Diptera;1;L;3;2;A;;Sphaerophoria_scripta;Tjarns_Hage
242;9;2012;Hymenoptera;1;L;1;10;B;;Apis_mellifera;Tjarns_Hage
243;9;2012;Hymenoptera;1;L;1;15;A;;Apis_mellifera;Tjarns_Hage
244;9;2012;Hymenoptera;1;M;3;6;A;;Bombus_humilis;Tjarns_Hage
245;9;2012;Hymenoptera;1;L;2;3;B;;Apis_mellifera;Tjarns_Hage
246;9;2012;Hymenoptera;1;L;2;8;C;;Apis_mellifera;Tjarns_Hage
247;9;2012;Hymenoptera;1;L;2;11;B;;Apis_mellifera;Tjarns_Hage
248;9;2012;Hymenoptera;1;L;2;13;B;;Apis_mellifera;Tjarns_Hage
249;9;2012;Hymenoptera;1;L;2;14;B;;Apis_mellifera;Tjarns_Hage
250;9;2012;Diptera;2;L;2;11;A;;Eristalis_interrupta;Tjarns_Hage
251;9;2012;Diptera;1;M;5;12;B;;Episyrphus_balteatus;Tjarns_Hage
252;9;2012;Diptera;1;M;5;17;C;Galium_verum;Episyrphus_balteatus;Tjarns_Hage
253;9;2012;Diptera;1;M;5;21;C;Leucanthemum_vulgare;Episyrphus_balteatus;Tjarns_Hage
254;9;2012;Diptera;1;M;5;29;D;;Episyrphus_balteatus;Tjarns_Hage
255;9;2012;Diptera;1;L;4;4;A;;Sericomyia_silentis;Tjarns_Hage
256;9;2012;Diptera;1;L;3;8;A;;Helophilus_hybridus;Tjarns_Hage
257;9;2012;Diptera;1;L;2;12;A;;Eristalis_interrupta;Tjarns_Hage
258;9;2012;Hymenoptera;2;L;1;5;A;;Bombus_humilis;Tjarns_Hage
259;9;2012;Diptera;1;M;5;26;C;Trifolium_pratense;Helophilus_pendulus;Tjarns_Hage
260;9;2012;Diptera;5;L;2;1;C;;Syrphus_ribesii;Tjarns_Hage
261;9;2012;Diptera;3;L;2;8;D;;Eristalis_picea;Tjarns_Hage
262;9;2012;Diptera;1;M;5;6;A;;Volucella_pellucens;Tjarns_Hage
263;9;2012;Hymenoptera;1;M;5;8;B;Campanula_rotundifolia;Bombus_pascuorum;Tjarns_Hage
264;9;2012;Diptera;1;M;5;18;C;;Sphaerophoria_scripta;Tjarns_Hage
265;9;2012;Hymenoptera;1;M;2;1;A;;Bombus_lapidarius;Tjarns_Hage
266;9;2012;Hymenoptera;1;M;4;5;C;Vincetoxicum_hirundinaria;Apis_mellifera;Tjarns_Hage
267;9;2012;Diptera;1;L;1;5;B;;Eristalis_interrupta;Tjarns_Hage
268;9;2012;Diptera;1;M;5;9;B;Achillea_millefolium;Syrphus_ribesii;Tjarns_Hage
269;9;2012;Diptera;1;M;5;16;C;;Syrphus_ribesii;Tjarns_Hage
270;9;2012;Diptera;2;L;1;13;A;;Melanostoma_mellinum;Tjarns_Hage
271;9;2012;Hymenoptera;1;L;1;4;A;;Nomada_ruficornis;Tjarns_Hage
272;9;2012;Diptera;1;L;2;13;A;;Syrphus_vitripennis;Tjarns_Hage
273;9;2012;Hymenoptera;1;L;2;3;A;;Bombus_lucorum;Tjarns_Hage
274;9;2012;Hymenoptera;1;L;3;4;F;;Bombus_lucorum;Tjarns_Hage
275;9;2012;Diptera;3;M;5;15;C;Trifolium_pratense;Syrphus_ribesii;Tjarns_Hage
276;9;2012;Hymenoptera;1;L;3;15;B;;Bombus_lucorum;Tjarns_Hage
277;9;2012;Hymenoptera;1;L;3;12;B;;Bombus_sylvarum;Tjarns_Hage
