Order,Family,Subfamily,Tribe,Genus,Subgenus,Species,GenusAndSpecies,TaxonomicAuthority,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Faroe Islands,Finland,Finland - Åland Islands,Finland - Mainland,France,France - Corsica,France - Mainland,Germany,Gibraltar,Greece,Greece - East Aegean Islands,Greece - Kriti,Greece - Mainland,Hungary,Iceland,Ireland,Isle of Man,Italy,Italy - Mainland,Italy - Sardegna,Italy - Sicily,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Portugal - Azores,Portugal - Madeira,Portugal - Mainland,Romania,Russian Federation - European Russia,Serbia,Slovakia,Slovenia,Spain,Spain - Balearic Islands,Spain - Canary Islands,Spain - Mainland,Sweden,Switzerland,Turkey - European part,Ukraine,Ukraine - Krym,Ukraine - Main part,United Kingdom,United Kingdom - Great Britain,United Kingdom - Northern Ireland
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,quadrimaculosa,Brachyopa quadrimaculosa,"Thompson, 1981",A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,scutellaris,Brachyopa scutellaris,"Robineau-Desvoidy, 1843",A,P,P,A,P,A,P,A,A,P,P,A,A,A,A,A,P,A,P,P,A,A,A,A,A,A,A,P,A,P,P,A,A,A,A,A,P,A,A,A,P,A,A,P,P,A,A,P,A,A,A,P,P,P,A,A,P,P,P,A,A,A,A,P,P,P
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,silviae,Brachyopa silviae,"Doczkal & Dziock, 2004",A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,testacea,Brachyopa testacea,"(Fallén, 1817)",A,A,P,A,P,A,P,A,A,P,P,P,A,P,P,P,P,A,P,P,A,A,A,A,A,P,A,A,A,P,P,A,A,P,P,P,A,A,A,A,P,A,P,P,A,A,A,A,P,P,P,P,P,A,A,A,A,P,P,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,vernalis,Brachyopa vernalis,"van Steenis & van Steenis, 2014",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,vittata,Brachyopa vittata,"Zetterstedt, 1843",A,A,P,A,P,P,P,P,A,P,A,P,A,P,A,P,P,A,P,P,A,P,A,A,P,P,A,A,A,P,P,A,A,P,P,P,A,A,A,P,P,A,P,P,A,A,A,A,P,P,P,P,P,A,A,A,A,P,P,A,P,A,P,A,A,A
Diptera,Syrphidae,Eristalinae,Brachyopini,Brachyopa,,zhelochovtsevi,Brachyopa zhelochovtsevi,"Mutin, 1998",A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Brachypalpoides ,,lentus,Brachypalpoides lentus,"(Meigen, 1822)",A,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,A,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,P,P,P
Diptera,Syrphidae,Eristalinae,Milesiini,Brachypalpus,,chrysites,Brachypalpus chrysites,"Egger, 1859",A,A,P,P,A,P,P,P,A,P,A,A,A,A,A,A,P,A,P,P,A,P,A,A,P,P,A,A,A,P,P,A,A,A,P,A,A,A,A,P,A,A,A,P,A,A,A,A,P,A,P,P,P,P,A,A,P,A,P,P,P,A,P,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Brachypalpus,,laphriformis,Brachypalpus laphriformis,"(Fallén, 1816)",A,P,P,P,P,A,P,P,A,P,P,P,A,P,P,P,P,A,P,P,A,P,A,A,P,P,A,P,A,P,P,A,A,P,A,P,P,A,P,P,P,A,P,P,A,A,A,A,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,P,P,A
