Site_id,Plant_species,Flower_units,Latitude,Longitude,Site_area
Allersdorf,Malus domestica,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Malus domestica,0,49.72795,11.28425,21554.1
Bindlacher Berg,Malus domestica,0,50.006549999999997,11.616,96624.5
Friesen,Malus domestica,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Malus domestica,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Malus domestica,0,49.79063,11.42389,58085.5
Hohe Leite,Malus domestica,0,49.80621,11.40085,23217.300999999999
Kainach,Malus domestica,0,49.957859999999997,11.2906,2346.23
Kalkberg,Malus domestica,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Malus domestica,0,50.021439999999998,11.20879,117772
Köttel,Malus domestica,0,50.076549999999997,11.16835,43404.5
Leidingshof,Malus domestica,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Malus domestica,0,49.891959999999997,11.40354,38417
Oberailsfeld,Malus domestica,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Malus domestica,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Malus domestica,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Malus domestica,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Malus domestica,5000,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Malus domestica,0,49.923929999999999,11.07592,13454.5
Wallersberg,Malus domestica,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Malus domestica,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Malus domestica,20000,49.71658,11.14601,4582.6201000000001
Wonsees,Malus domestica,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Muscari spec.,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Muscari spec.,0,49.72795,11.28425,21554.1
Bindlacher Berg,Muscari spec.,0,50.006549999999997,11.616,96624.5
Friesen,Muscari spec.,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Muscari spec.,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Muscari spec.,0,49.79063,11.42389,58085.5
Hohe Leite,Muscari spec.,0,49.80621,11.40085,23217.300999999999
Kainach,Muscari spec.,0,49.957859999999997,11.2906,2346.23
Kalkberg,Muscari spec.,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Muscari spec.,0,50.021439999999998,11.20879,117772
Köttel,Muscari spec.,0,50.076549999999997,11.16835,43404.5
Leidingshof,Muscari spec.,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Muscari spec.,0,49.891959999999997,11.40354,38417
Oberailsfeld,Muscari spec.,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Muscari spec.,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Muscari spec.,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Muscari spec.,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Muscari spec.,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Muscari spec.,0,49.923929999999999,11.07592,13454.5
Wallersberg,Muscari spec.,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Muscari spec.,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Muscari spec.,20,49.71658,11.14601,4582.6201000000001
Wonsees,Muscari spec.,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Polygala chamaebuxus,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Polygala chamaebuxus,0,49.72795,11.28425,21554.1
Bindlacher Berg,Polygala chamaebuxus,0,50.006549999999997,11.616,96624.5
Friesen,Polygala chamaebuxus,0,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Polygala chamaebuxus,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Polygala chamaebuxus,200,49.79063,11.42389,58085.5
Hohe Leite,Polygala chamaebuxus,100,49.80621,11.40085,23217.300999999999
Kainach,Polygala chamaebuxus,0,49.957859999999997,11.2906,2346.23
Kalkberg,Polygala chamaebuxus,0,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Polygala chamaebuxus,0,50.021439999999998,11.20879,117772
Köttel,Polygala chamaebuxus,0,50.076549999999997,11.16835,43404.5
Leidingshof,Polygala chamaebuxus,0,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Polygala chamaebuxus,0,49.891959999999997,11.40354,38417
Oberailsfeld,Polygala chamaebuxus,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Polygala chamaebuxus,100,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Polygala chamaebuxus,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Polygala chamaebuxus,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Polygala chamaebuxus,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Polygala chamaebuxus,0,49.923929999999999,11.07592,13454.5
Wallersberg,Polygala chamaebuxus,0,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Polygala chamaebuxus,0,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Polygala chamaebuxus,0,49.71658,11.14601,4582.6201000000001
Wonsees,Polygala chamaebuxus,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Potentilla neumanniana,2000,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Potentilla neumanniana,2000,49.72795,11.28425,21554.1
Bindlacher Berg,Potentilla neumanniana,3000,50.006549999999997,11.616,96624.5
Friesen,Potentilla neumanniana,700,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Potentilla neumanniana,10000,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Potentilla neumanniana,15000,49.79063,11.42389,58085.5
Hohe Leite,Potentilla neumanniana,10000,49.80621,11.40085,23217.300999999999
Kainach,Potentilla neumanniana,500,49.957859999999997,11.2906,2346.23
Kalkberg,Potentilla neumanniana,5000,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Potentilla neumanniana,10000,50.021439999999998,11.20879,117772
Köttel,Potentilla neumanniana,30000,50.076549999999997,11.16835,43404.5
Leidingshof,Potentilla neumanniana,20000,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Potentilla neumanniana,5000,49.891959999999997,11.40354,38417
Oberailsfeld,Potentilla neumanniana,10000,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Potentilla neumanniana,3000,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Potentilla neumanniana,1500,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Potentilla neumanniana,5000,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Potentilla neumanniana,500,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Potentilla neumanniana,1000,49.923929999999999,11.07592,13454.5
Wallersberg,Potentilla neumanniana,500,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Potentilla neumanniana,10000,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Potentilla neumanniana,200,49.71658,11.14601,4582.6201000000001
Wonsees,Potentilla neumanniana,1000,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Primula veris,300,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Primula veris,500,49.72795,11.28425,21554.1
Bindlacher Berg,Primula veris,100,50.006549999999997,11.616,96624.5
Friesen,Primula veris,2000,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Primula veris,500,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Primula veris,200,49.79063,11.42389,58085.5
Hohe Leite,Primula veris,3000,49.80621,11.40085,23217.300999999999
Kainach,Primula veris,200,49.957859999999997,11.2906,2346.23
Kalkberg,Primula veris,2000,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Primula veris,1000,50.021439999999998,11.20879,117772
Köttel,Primula veris,0,50.076549999999997,11.16835,43404.5
Leidingshof,Primula veris,100,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Primula veris,0,49.891959999999997,11.40354,38417
Oberailsfeld,Primula veris,500,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Primula veris,300,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Primula veris,50,50.016399999999997,11.30677,2314.6100999999999
