"Plant_gen_sp","Site_ID","Name","Day","Month","Year","Round","Notes","Plot","Plant_genus","Plant_species","Flower_abundance"
"Andryala integrifolia","La_cunya","Curro",13,5,2015,7,NA,6,"Andryala","integrifolia",1
"Andryala integrifolia","Villamanrique_sur","Curro",14,5,2015,7,NA,2,"Andryala","integrifolia",3
"Andryala integrifolia","Villamanrique_sur","Curro",14,5,2015,7,NA,3,"Andryala","integrifolia",25
"Andryala integrifolia","Esparragal","Curro",26,4,2016,7,NA,4,"Andryala","integrifolia",3
"Andryala integrifolia","Villamanrique_sur","Curro",16,5,2016,8,NA,5,"Andryala","integrifolia",27
"Andryala integrifolia","Villamanrique_sur","Curro",16,5,2016,8,NA,6,"Andryala","integrifolia",7
"Andryala integrifolia","Villamanrique_sur","Curro",16,5,2016,8,NA,7,"Andryala","integrifolia",6
"Andryala integrifolia","Villamanrique_este","Curro",16,5,2016,8,NA,3,"Andryala","integrifolia",7
"Andryala integrifolia","Villamanrique_este","Curro",16,5,2016,8,NA,5,"Andryala","integrifolia",16
"Andryala integrifolia","Villamanrique_este","Curro",16,5,2016,8,NA,8,"Andryala","integrifolia",208
"Andryala integrifolia","Esparragal","Curro",23,5,2016,8,NA,4,"Andryala","integrifolia",6
"Andryala integrifolia","Villamanrique_este","Curro",31,5,2016,9,NA,6,"Andryala","integrifolia",9
"Andryala integrifolia","Villamanrique_sur","Curro",31,5,2016,9,NA,1,"Andryala","integrifolia",3
"Andryala integrifolia","Villamanrique_sur","Curro",31,5,2016,9,NA,3,"Andryala","integrifolia",9
"Andryala integrifolia","Villamanrique_sur","Curro",31,5,2016,9,NA,6,"Andryala","integrifolia",42
"Andryala integrifolia","La_rocina","Curro",2,6,2016,9,NA,10,"Andryala","integrifolia",80
"Andryala integrifolia","Bonares","Curro",21,4,2016,6,NA,1,"Andryala","integrifolia",10
"Andryala integrifolia","Bonares","Curro",21,4,2016,6,NA,3,"Andryala","integrifolia",3
"Andryala integrifolia","Convento_de_la_luz","Curro",21,4,2016,6,NA,4,"Andryala","integrifolia",11
"Andryala integrifolia","Urbanizaciones","Curro",21,4,2016,6,NA,6,"Andryala","integrifolia",12
"Andryala integrifolia","Pinares_de_hinojos","Curro",25,4,2016,7,NA,6,"Andryala","integrifolia",15
"Andryala integrifolia","Pinares_de_hinojos","Curro",25,4,2016,7,NA,10,"Andryala","integrifolia",5
"Andryala integrifolia","Cotito_de_santa_teresa","Curro",25,4,2016,7,NA,3,"Andryala","integrifolia",7
"Andryala integrifolia","Esparragal","Curro",26,4,2016,7,NA,3,"Andryala","integrifolia",3
"Andryala integrifolia","Bonares","Curro",26,4,2016,7,NA,3,"Andryala","integrifolia",11
"Andryala integrifolia","Convento_de_la_luz","Curro",26,4,2016,7,NA,4,"Andryala","integrifolia",11
"Andryala integrifolia","Aznalcazar","Curro",16,5,2016,8,NA,3,"Andryala","integrifolia",35
"Andryala integrifolia","Aznalcazar","Curro",16,5,2016,8,NA,5,"Andryala","integrifolia",2
"Andryala integrifolia","Aznalcazar","Curro",16,5,2016,8,NA,7,"Andryala","integrifolia",50
"Andryala integrifolia","Villamanrique_sur","Curro",16,5,2016,8,NA,1,"Andryala","integrifolia",44
"Andryala integrifolia","Villamanrique_sur","Curro",16,5,2016,8,NA,4,"Andryala","integrifolia",3
"Andryala integrifolia","Villamanrique_sur","Curro",16,5,2016,8,NA,9,"Andryala","integrifolia",9
"Andryala integrifolia","Villamanrique_este","Curro",16,5,2016,8,NA,1,"Andryala","integrifolia",34
"Andryala integrifolia","Villamanrique_este","Curro",16,5,2016,8,NA,2,"Andryala","integrifolia",33
"Andryala integrifolia","Villamanrique_este","Curro",16,5,2016,8,NA,9,"Andryala","integrifolia",4
"Andryala integrifolia","El_hongo","Curro",16,5,2016,8,NA,2,"Andryala","integrifolia",3
"Andryala integrifolia","El_hongo","Curro",16,5,2016,8,NA,7,"Andryala","integrifolia",2
"Andryala integrifolia","El_hongo","Curro",16,5,2016,8,NA,8,"Andryala","integrifolia",1
"Andryala integrifolia","Convento_de_la_luz","Curro",19,5,2016,8,NA,4,"Andryala","integrifolia",12
"Andryala integrifolia","Bonares","Curro",19,5,2016,8,NA,3,"Andryala","integrifolia",6
"Andryala integrifolia","La_cunya","Curro",20,5,2016,8,NA,4,"Andryala","integrifolia",13
"Andryala integrifolia","La_cunya","Curro",20,5,2016,8,NA,7,"Andryala","integrifolia",9
"Andryala integrifolia","La_cunya","Curro",20,5,2016,8,NA,8,"Andryala","integrifolia",1
"Andryala integrifolia","La_cunya","Curro",20,5,2016,8,NA,9,"Andryala","integrifolia",19
"Andryala integrifolia","La_rocina","Curro",23,5,2016,8,NA,1,"Andryala","integrifolia",33
"Andryala integrifolia","La_rocina","Curro",23,5,2016,8,NA,2,"Andryala","integrifolia",39
