network_ID,network_subsample,interaction_ID,animal-order,animal-family,animal-group,plant-family,animal,plant,animal_sex,real_pollinator,number of records,animal_identification,plant_identification
6,1,101,Hymenoptera,,,Asteraceae,Apoidea_sp1,Tragopogon_orientalis,,1,1,Jiří Hadrava,Martin Hanzl
6,1,102,Coleoptera,Nitidulidae,,Asteraceae,Meligethes_aeneus,Centaurea_jacea,,1,5,Ondřej Kouklík,Jiří Hadrava
6,1,103,Hymenoptera,Apidae,Bombus,Fabaceae,Bombus_hortorum,Trifolium_medium,,1,1,Jiří Hadrava,Jiří Hadrava
6,1,104,Diptera,Syrphidae,Sphaerophorini,Dipsacaceae,Episyrphus_balteatus,Knautia_arvensis,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
6,1,105,Coleoptera,Nitidulidae,,Dipsacaceae,Meligethes_aeneus,Knautia_arvensis,,1,5,Ondřej Kouklík,"Filip Kolář, Martin Hanzl"
6,1,106,Coleoptera,Nitidulidae,,Fabaceae,Meligethes_aeneus,Securigera_varia,,1,4,Ondřej Kouklík,Jiří Hadrava
6,1,107,Coleoptera,Nitidulidae,,hypericaceae,Meligethes_aeneus,Hypericum_perforatum,,1,12,Ondřej Kouklík,Jiří Hadrava
6,1,108,Coleoptera,Oedemeridae,,Asteraceae,Oedemera_podagrariae,Tragopogon_orientalis,,1,1,Ondřej Kouklík,Martin Hanzl
6,1,109,Coleoptera,Chrysomelidae,,Asteraceae,Cryptocephalus_sericeus,Tragopogon_orientalis,,1,8,"Albert Damaška, Ondřej Kouklík",Martin Hanzl
6,1,110,Hymenoptera,Apidae,Bombus,Fabaceae,Bombus_pascuorum,Vicia_sativa,,1,1,Daniel Benda,Jiří Hadrava
6,1,111,Lepidoptera,Lycaenidae,,Fabaceae,Plebejus_argyrognomon,Vicia_sativa,,1,1,Tereza Garbová,Jiří Hadrava
6,1,112,Coleoptera,Elateridae,,Dipsacaceae,Elateridae_sp2,Knautia_arvensis,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
6,1,113,Coleoptera,Nitidulidae,,Asteraceae,Meligethes_aeneus,Leontodon_hispidus,,1,65,Ondřej Kouklík,"Filip Kolář, Martin Hanzl"
6,1,114,Hymenoptera,,,Dipsacaceae,Apoidea_sp2,Knautia_arvensis,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
6,1,115,Hymenoptera,Apidae,Bombus,Fabaceae,Bombus_terrestris,Trifolium_medium,,1,1,Jiří Hadrava,Jiří Hadrava
6,2,116,Coleoptera,Chrysomelidae,,Asteraceae,Cryptocephalus_sericeus,Hypochaeris_radicata,,1,1,"Albert Damaška, Ondřej Kouklík",Martin Hanzl
6,2,117,Coleoptera,Nitidulidae,,Asteraceae,Meligethes_aeneus,Hypochaeris_radicata,,1,20,Ondřej Kouklík,Martin Hanzl
6,2,118,Coleoptera,Nitidulidae,,Asteraceae,Meligethes_aeneus,Leontodon_hispidus,,1,120,Ondřej Kouklík,"Filip Kolář, Martin Hanzl"
6,2,119,Hymenoptera,Megachilidae,,Fabaceae,Megachile_circumcincta,Vicia_sativa,,1,1,Daniel Benda,Jiří Hadrava
6,2,120,Hymenoptera,Halictidae,,Asteraceae,Halictidae_sp1,Leontodon_hispidus,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
6,2,121,Coleoptera,Elateridae,,Dipsacaceae,Elateridae_sp2,Knautia_arvensis,,1,6,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
6,2,122,Coleoptera,Chrysomelidae,,Asteraceae,Cryptocephalus_sericeus,Leontodon_hispidus,,1,1,"Albert Damaška, Ondřej Kouklík","Filip Kolář, Martin Hanzl"
6,2,123,Lepidoptera,Hesperiidae,,Caryophyllaceae,Thymelicus_sylvestris,Dianthus_deltoides,,1,1,Tereza Garbová,"Filip Kolář, Martin Hanzl"
6,2,124,Coleoptera,Nitidulidae,,Asteraceae,Meligethes_aeneus,Tragopogon_orientalis,,1,50,Ondřej Kouklík,Martin Hanzl
6,2,125,Araneae,Thomisidae,,Asteraceae,Thomisidae_sp1,Achillea_millefolium,,0,1,Jiří Hadrava,Jiří Hadrava
6,2,126,Diptera,Syrphidae,Sphaerophorini,Asteraceae,Sphaerophoria_scripta,Achillea_millefolium,f,1,1,Jiří Hadrava,Jiří Hadrava
7,1,127,Hymenoptera,Apidae,Bombus,Lamiaceae,Bombus_pascuorum,Teucrium_chamaedrys,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,1,128,Lepidoptera,Nymphalidae,Satyrinae,Crassulaceae,Coenonympha_glycerion,Sedum_sexangulare,,1,1,Tereza Garbová,"Filip Kolář, Martin Hanzl"
7,1,129,Diptera,Syrphidae,Sphaerophorini,Fabaceae,Sphaerophoria_scripta,Genista_tinctoria,m,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,1,130,Hymenoptera,Andrenidae,,Crassulaceae,Andrena_minutula,Sedum_sexangulare,,1,1,Daniel Benda,"Filip Kolář, Martin Hanzl"
7,1,131,Hymenoptera,Formicidae,,Crassulaceae,spp_Lasius,Sedum_sexangulare,,0,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,1,132,Orthoptera,Acrididae,,Crassulaceae,spp_Acrididae,Sedum_sexangulare,,0,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,1,133,Mantodea,Mantidae,,Crassulaceae,Mantis_religiosa,Sedum_sexangulare,,0,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,1,134,Diptera,Bombyliidae,Hemipenthes,Crassulaceae,Hemipenthes_morio,Sedum_sexangulare,,1,1,Petr Heřman,"Filip Kolář, Martin Hanzl"
7,1,135,Hymenoptera,Halictidae,Lasioglossum,Caryophyllaceae,Lasioglossum_morio,Dianthus_carthusianorum,,1,1,Daniel Benda,"Filip Kolář, Martin Hanzl"
7,1,136,Coleoptera,Coccinellidae,,Caryophyllaceae,Subcoccinella_vigintiquatorpunctata,Dianthus_carthusianorum,,1,1,Ondřej Kouklík,"Filip Kolář, Martin Hanzl"
7,1,137,Lepidoptera,Hesperiidae,,Caryophyllaceae,Thymelicus_sylvestris,Dianthus_carthusianorum,,1,2,Tereza Garbová,"Filip Kolář, Martin Hanzl"
7,1,138,Coleoptera,Chrysomelidae,,Fabaceae,Cryptocephalus_sericeus,Genista_tinctoria,,1,1,"Albert Damaška, Ondřej Kouklík","Filip Kolář, Martin Hanzl"
7,1,139,Coleoptera,Nitidulidae,,Rosaceae,Meligethes_aeneus,Potentilla_argentea,,1,4,Ondřej Kouklík,"Filip Kolář, Martin Hanzl"
7,1,140,Hymenoptera,Andrenidae,,Fabaceae,Andrena_ovatula,Trifolium_campestre,,1,2,Jakub Straka,"Filip Kolář, Martin Hanzl"
7,1,141,Hymenoptera,Apidae,Bombus,Fabaceae,Bombus_lapidarius,Trifolium_campestre,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,1,142,Hymenoptera,Apidae,,Fabaceae,Apis_mellifera,Trifolium_campestre,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,1,143,Hymenoptera,Apidae,,Hypericaceae,Apis_mellifera,Hypericum_perforatum,,1,3,Jiří Hadrava,Jiří Hadrava
7,1,144,Hymenoptera,Apidae,Bombus,Hypericaceae,Bombus_terrestris,Hypericum_perforatum,,1,2,Jiří Hadrava,Jiří Hadrava
7,1,145,Hymenoptera,Andrenidae,,Fabaceae,Andrena_ovatula,Genista_tinctoria,,1,2,Jakub Straka,"Filip Kolář, Martin Hanzl"
7,1,146,Coleoptera,Oedemeridae,,Asteraceae,Oedemera_podagrariae,Achillea_millefolium,,1,1,Ondřej Kouklík,Jiří Hadrava
7,1,147,Coleoptera,Cerambycidae,,Asteraceae,Stenurella_melanura,Achillea_millefolium,,1,1,Jiří Hadrava,Jiří Hadrava
7,1,148,Coleoptera,Tenebrionidae,,Asteraceae,Alleculinae_sp1,Achillea_millefolium,,1,1,Ondřej Kouklík,Jiří Hadrava
7,1,149,Coleoptera,Elateridae,,Asteraceae,Elateridae_sp3,Achillea_millefolium,,1,1,Jiří Hadrava,Jiří Hadrava
7,2,150,Coleoptera,Cerambycidae,,Asteraceae,Stenurella_melanura,Achillea_millefolium,,1,1,Jiří Hadrava,Jiří Hadrava
7,2,151,Coleoptera,Cerambycidae,,Asteraceae,Pseudovadonia_livida,Achillea_millefolium,,1,3,Ondřej Kouklík,Jiří Hadrava
7,2,152,Orthoptera,Tettigoniidae,,Asteraceae,spp_Tettigoniidae,Achillea_millefolium,,0,1,Jiří Hadrava,Jiří Hadrava
7,2,153,Coleoptera,Nitidulidae,,Asteraceae,Meligethes_aeneus,Achillea_millefolium,,1,5,Ondřej Kouklík,Jiří Hadrava
7,2,154,Hymenoptera,Apidae,Bombus,Fabaceae,Bombus_lapidarius,Genista_tinctoria,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,2,155,Hymenoptera,Apidae,,Hypericaceae,Apis_mellifera,Hypericum_perforatum,,1,1,Jiří Hadrava,Jiří Hadrava
7,2,156,Lepidoptera,Hesperiidae,,Caryophyllaceae,Thymelicus_sylvestris,Dianthus_carthusianorum,,1,9,Tereza Garbová,"Filip Kolář, Martin Hanzl"
7,2,157,Hymenoptera,Apidae,Bombus,Fabaceae,Bombus_pascuorum,Securigera_varia,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
7,2,158,Coleoptera,Cerambycidae,,Asteraceae,Pachytodes_cerambyciformis,Achillea_millefolium,,1,1,Ondřej Kouklík,Jiří Hadrava
7,2,159,Lepidoptera,Nymphalidae,Satyrinae,Crassulaceae,Coenonympha_glycerion,Sedum_acre,,1,1,Tereza Garbová,Michael Mikát
7,2,160,Hymenoptera,Andrenidae,,Crassulaceae,Andrena_minutula,Sedum_acre,,1,2,Jakub Straka,Michael Mikát
8,1,161,Hymenoptera,,,Asteraceae,Apoidea_sp3,Achillea_millefolium,,1,1,Jiří Hadrava,Jiří Hadrava
8,1,162,Hymenoptera,Apidae,Bombus,Boraginaceae,Bombus_terrestris,Echium_vulgare,,1,1,Jiří Hadrava,"Filip Kolář, Martin Hanzl"
8,1,163,Diptera,Anthomyiidae,,Asteraceae,Anthomyiidae_sp1,Achillea_millefolium,,1,3,Hana Šuláková,Jiří Hadrava
8,1,164,Diptera,Syrphidae,Sphaerophorini,Asteraceae,Sphaerophoria_scripta,Achillea_millefolium,m,1,4,Jiří Hadrava,Jiří Hadrava
8,1,165,Diptera,Syrphidae,Sphaerophorini,Asteraceae,Sphaerophoria_scripta,Achillea_millefolium,f,1,2,Jiří Hadrava,Jiří Hadrava
8,1,166,Hymenoptera,Halictidae,Lasioglossum,Asteraceae,Lasioglossum_laticeps,Achillea_millefolium,,1,4,Jakub Straka,Jiří Hadrava
8,1,167,Diptera,Syrphidae,Sphaerophorini,Rubiaceae,Sphaerophoria_scripta,Galium_album,m,1,1,Jiří Hadrava,Martin Hanzl
8,1,168,Lepidoptera,Hesperiidae,,Asteraceae,Thymelicus_sylvestris,Achillea_millefolium,,1,2,Tereza Garbová,Jiří Hadrava
8,1,169,Coleoptera,Oedemeridae,,Asteraceae,Oedemera_femorata,Achillea_millefolium,,1,2,Albert Damaška,Jiří Hadrava
8,1,170,Orthoptera,Tettigoniidae,,Asteraceae,spp_Tettigoniidae,Achillea_millefolium,,0,1,Jiří Hadrava,Jiří Hadrava
8,1,171,Hemiptera,,,Asteraceae,Hemiptera_sp1,Achillea_millefolium,,0,2,Jiří Hadrava,Jiří Hadrava
8,1,172,Diptera,Syrphidae,Eristalis,Asteraceae,Eristalis_tenax,Achillea_millefolium,,1,1,Jiří Hadrava,Jiří Hadrava
8,1,173,Hymenoptera,Andrenidae,,Asteraceae,Andrena_flavipes,Achillea_millefolium,,1,3,Daniel Benda,Jiří Hadrava
8,1,174,Hymenoptera,Andrenidae,,Asteraceae,Andrena_flavipes,Achillea_millefolium,,1,1,Daniel Benda,Jiří Hadrava
8,1,175,Hymenoptera,Halictidae,Lasioglossum,Asteraceae,Lasioglossum_laticeps,Erigeron_annuus,,1,1,Jakub Straka,"Filip Kolář, Martin Hanzl"
