Species,Order,Family
Melinda gentilis,Diptera,Calliphoridae
Melinda viridicyaena,Diptera,Calliphoridae
Pollenia amentaria,Diptera,Calliphoridae
Pollenia labialis,Diptera,Calliphoridae
Pollenia pediculata,Diptera,Calliphoridae
Pollenia rudis,Diptera,Calliphoridae
Protophormia terraenovae,Diptera,Calliphoridae
Stomorhina lunata,Diptera,Calliphoridae
Sicus ferrugineus,Diptera,Conopidae
Thecophora atra,Diptera,Conopidae
Dolichopus trivialis,Diptera,Dolichopodidae
Hercostomus fugax,Diptera,Dolichopodidae
Hercostomus germanus,Diptera,Dolichopodidae
Sympycnus aeneicoxa,Diptera,Dolichopodidae
Scaptomyza pallida,Diptera,Drosophilidae
Bicellaria vana,Diptera,Empididae
Empis bistortae,Diptera,Empididae
Empis florisomna,Diptera,Empididae
Empis fumosa,Diptera,Empididae
Empis maerens,Diptera,Empididae
Empis melanotricha,Diptera,Empididae
Empis planetica,Diptera,Empididae
Empis scotica,Diptera,Empididae
Empis simulium,Diptera,Empididae
Empis spec nov.,Diptera,Empididae
Empis spec. 2,Diptera,Empididae
Empis tesselata,Diptera,Empididae
Hilara scrobriculata,Diptera,Empididae
Hilara sulcitarsis,Diptera,Empididae
Hybos grossipes,Diptera,Empididae
Rhamphomyia anthracina,Diptera,Empididae
Rhamphomyia heterochroma,Diptera,Empididae
Rhamphomyia spec. nov. 1,Diptera,Empididae
Rhamphomyia spec. nov. 2,Diptera,Empididae
Rhamphomyia stroblii,Diptera,Empididae
Rhamphomyia umbripes,Diptera,Empididae
Fannia carbonella,Diptera,Fanniidae
Fannia mollissima,Diptera,Fanniidae
Fannia postica,Diptera,Fanniidae
Fannia ringdahlana,Diptera,Fanniidae
Fannia serena,Diptera,Fanniidae
Bicellaria austriaca,Diptera,Hybotidae
Hybos culiciformis,Diptera,Hybotidae
Platypalpus pseudorapidus,Diptera,Hybotidae
Lonchoptera lutea,Diptera,Lonchopteridae
Azelia cilipes,Diptera,Muscidae
Azelia triquetra,Diptera,Muscidae
Coenosia ambigua,Diptera,Muscidae
Coenosia means,Diptera,Muscidae
Coenosia mollicula,Diptera,Muscidae
Coenosia obscuricola,Diptera,Muscidae
Coenosia obscuricula,Diptera,Muscidae
Drymeia alpicola,Diptera,Muscidae
Drymeia brumalis,Diptera,Muscidae
Drymeia hamata,Diptera,Muscidae
Helina annosa,Diptera,Muscidae
Helina atricolor,Diptera,Muscidae
Helina cinerella,Diptera,Muscidae
Helina evecta,Diptera,Muscidae
Helina latitarsis,Diptera,Muscidae
Helina maculipennis,Diptera,Muscidae
Helina obscurata,Diptera,Muscidae
Helina reversio,Diptera,Muscidae
Hydrotaea irritans,Diptera,Muscidae
Hydrotaea pandellei,Diptera,Muscidae
Macrorchis meditata,Diptera,Muscidae
Morellia podagrica,Diptera,Muscidae
Musca autumnalis,Diptera,Muscidae
Mydaea corni,Diptera,Muscidae
Neomyia viridescens,Diptera,Muscidae
Phaonia angelicae,Diptera,Muscidae
Phaonia chalinata,Diptera,Muscidae
Phaonia consobrina,Diptera,Muscidae
Phaonia hybrida,Diptera,Muscidae
Phaonia jugorum,Diptera,Muscidae
Phaonia lugubris,Diptera,Muscidae
Phaonia meigeni,Diptera,Muscidae
Phaonia serva,Diptera,Muscidae
Phaonia zugmayeriae,Diptera,Muscidae
Polietes lardarius,Diptera,Muscidae
Thricops aculeipes,Diptera,Muscidae
Thricops beckeri,Diptera,Muscidae
Thricops cunctans,Diptera,Muscidae
Thricops genarum,Diptera,Muscidae
Thricops innocuus,Diptera,Muscidae
Thricops longipes,Diptera,Muscidae
Thricops nigrifrons,Diptera,Muscidae
Thricops nigritellus,Diptera,Muscidae
Thricops rostratus,Diptera,Muscidae
Thricops semicinereus,Diptera,Muscidae
Thricops sudeticus,Diptera,Muscidae
Opomyza florum,Diptera,Opomyzidaae
Megaselia latifemorata,Diptera,Phoridae
Megaselia sordida,Diptera,Phoridae
Megaselia spec.,Diptera,Phoridae
Phora holosericea,Diptera,Phoridae
Phora sp.,Diptera,Phoridae
Spiniphora strobli cf.,Diptera,Phoridae
Triphleba citreiformis,Diptera,Phoridae
Chrysopilus aureus,Diptera,Rhagionidae
Rhagio notatus,Diptera,Rhagionidae
Stevenia atramentaria,Diptera,Rhinophoridae
Paramacronychia flavipalpis,Diptera,Sarcophagidae
Sarcophaga dissimilis,Diptera,Sarcophagidae
Sarcophaga emdeni,Diptera,Sarcophagidae
Sarcophaga haemorrhoa,Diptera,Sarcophagidae
Sarcophaga incisilobata,Diptera,Sarcophagidae
Sarcophaga pumila,Diptera,Sarcophagidae
Sarcophaga rosellei,Diptera,Sarcophagidae
Sarcophaga sp.,Diptera,Sarcophagidae
Sarcophaga variegatag,Diptera,Sarcophagidae
Sarcophaga variegatar,Diptera,Sarcophagidae
Sarcophaga vicina,Diptera,Sarcophagidae
Delina nigrita,Diptera,Scathophagidae
Norellisoma lituratum,Diptera,Scathophagidae
Scathophaga furcata,Diptera,Scathophagidae
Scathophaga lutaria,Diptera,Scathophagidae
Scathophaga stercoraria,Diptera,Scathophagidae
Euthycera fumigata,Diptera,Sciomyzidae
Trypetoptera punctulata,Diptera,Sciomyzidae
Sepsis fulgens,Diptera,Sepsidae
Sepsis neocynipsea,Diptera,Sepsidae
Sepsis orthocnemis,Diptera,Sepsidae
Sepsis violacea,Diptera,Sepsidae
Crumomyia nitida,Diptera,Sphaeroceridae
Leptocera fontinalis,Diptera,Sphaeroceridae
Sphaerocera curvipes,Diptera,Sphaeroceridae
Beris clavipes,Diptera,Stratiomyidae
Blera fallax,Diptera,Syrphidae
Brachymyia berberina,Diptera,Syrphidae
Chamaesyrphus scaevoides,Diptera,Syrphidae
Cheilosia ahenea,Diptera,Syrphidae
Cheilosia albipila,Diptera,Syrphidae
Cheilosia albitarsis,Diptera,Syrphidae
Cheilosia antiqua,Diptera,Syrphidae
Cheilosia bergenstammi,Diptera,Syrphidae
Cheilosia canicularis,Diptera,Syrphidae
Cheilosia carbonaria,Diptera,Syrphidae
Cheilosia chlorus,Diptera,Syrphidae
Cheilosia chrysocoma,Diptera,Syrphidae
Cheilosia fasciata,Diptera,Syrphidae
Cheilosia himantopus,Diptera,Syrphidae
Cheilosia illustrata,Diptera,Syrphidae
Cheilosia impressa,Diptera,Syrphidae
Cheilosia laticornis,Diptera,Syrphidae
Cheilosia lenis,Diptera,Syrphidae
Cheilosia lenis ,Diptera,Syrphidae
Cheilosia longula,Diptera,Syrphidae
Cheilosia melanopa ,Diptera,Syrphidae
Cheilosia melanura,Diptera,Syrphidae
Cheilosia melanura ,Diptera,Syrphidae
Cheilosia morio,Diptera,Syrphidae
Cheilosia mutabilis,Diptera,Syrphidae
Cheilosia mutabilis ,Diptera,Syrphidae
Cheilosia nigripes,Diptera,Syrphidae
Cheilosia nivalis,Diptera,Syrphidae
Cheilosia pagana,Diptera,Syrphidae
Cheilosia personata,Diptera,Syrphidae
Cheilosia pubera,Diptera,Syrphidae
Cheilosia semifasciata,Diptera,Syrphidae
Cheilosia urbana,Diptera,Syrphidae
Cheilosia vicina,Diptera,Syrphidae
Chrysotoxum arcuatum,Diptera,Syrphidae
Dasysyrphus friuliensis,Diptera,Syrphidae
Dasysyrphus lenensis,Diptera,Syrphidae
Dasysyrphus pinastri,Diptera,Syrphidae
Dasysyrphus tricinctus,Diptera,Syrphidae
Dasysyrphus venustus,Diptera,Syrphidae
Didea alneti,Diptera,Syrphidae
Didea intermedia,Diptera,Syrphidae
Episyrphus balteatus,Diptera,Syrphidae
Eristalis arbustorum,Diptera,Syrphidae
Eristalis interrupta,Diptera,Syrphidae
Eristalis intricaria,Diptera,Syrphidae
Eristalis lineata,Diptera,Syrphidae
Eristalis pertinax,Diptera,Syrphidae
Eristalis picea,Diptera,Syrphidae
Eristalis rupium,Diptera,Syrphidae
Eristalis similis,Diptera,Syrphidae
Eristalis tenax,Diptera,Syrphidae
Eupeodes corollae,Diptera,Syrphidae
Eupeodes lapponicus,Diptera,Syrphidae
Eupeodes latifasciatus,Diptera,Syrphidae
Eupeodes luniger,Diptera,Syrphidae
Eupeodes nielseni,Diptera,Syrphidae
Eupeodes nitens,Diptera,Syrphidae
Eupeodes sp.,Diptera,Syrphidae
Helophilus pendulus,Diptera,Syrphidae
Helophilus trivittatus,Diptera,Syrphidae
Heringia pubescens,Diptera,Syrphidae
Leucozona lucorum,Diptera,Syrphidae
Melangyna compositarum,Diptera,Syrphidae
Melangyna lasiophthalma,Diptera,Syrphidae
Melanogaster hirtella,Diptera,Syrphidae
Melanogaster nuda,Diptera,Syrphidae
Melanostoma dubium,Diptera,Syrphidae
Melanostoma mellinum,Diptera,Syrphidae
Melanostoma scalare,Diptera,Syrphidae
Meliscaeva auricollis,Diptera,Syrphidae
Meliscaeva cinctella,Diptera,Syrphidae
Merodon rufus,Diptera,Syrphidae
Myathropa florea,Diptera,Syrphidae
Paragus haemorrhous,Diptera,Syrphidae
Parasyrphus annulatus,Diptera,Syrphidae
Parasyrphus lineola,Diptera,Syrphidae
Parasyrphus macularis,Diptera,Syrphidae
Parasyrphus punctulatus,Diptera,Syrphidae
Parasyrphus vittiger,Diptera,Syrphidae
Pipiza bimaculata,Diptera,Syrphidae
Pipiza fenestrata,Diptera,Syrphidae
Pipiza lugubris,Diptera,Syrphidae
Pipiza quadrimaculata,Diptera,Syrphidae
Pipizella annulata,Diptera,Syrphidae
Pipizella divicoi,Diptera,Syrphidae
Pipizella sp.,Diptera,Syrphidae
Platycheirus albimanus,Diptera,Syrphidae
Platycheirus clypeatus,Diptera,Syrphidae
Platycheirus europaeus,Diptera,Syrphidae
Platycheirus manicatus,Diptera,Syrphidae
Platycheirus parmatus,Diptera,Syrphidae
Platycheirus peltatus,Diptera,Syrphidae
Platycheirus scutatus,Diptera,Syrphidae
Platycheirus tarsalis,Diptera,Syrphidae
Rhingia campestris,Diptera,Syrphidae
Scaeva pyrastri,Diptera,Syrphidae
Scaeva selenitica,Diptera,Syrphidae
Sericomyia silentis,Diptera,Syrphidae
Sphaerophoria ,Diptera,Syrphidae
Sphaerophoria batava,Diptera,Syrphidae
Sphaerophoria fatarum,Diptera,Syrphidae
Sphaerophoria interrupta,Diptera,Syrphidae
Sphaerophoria scripta,Diptera,Syrphidae
Sphaerophoria sp.,Diptera,Syrphidae
Sphaerophoria taeniata,Diptera,Syrphidae
Sphaerophoria virgata,Diptera,Syrphidae
Sphegina sibirica,Diptera,Syrphidae
Syrphus ribesii,Diptera,Syrphidae
Syrphus torvus,Diptera,Syrphidae
Syrphus vitripennis,Diptera,Syrphidae
Volucella bombylans,Diptera,Syrphidae
Xanthandrus comtus,Diptera,Syrphidae
Xylota florum,Diptera,Syrphidae
Xylota jakutorum,Diptera,Syrphidae
Billaea triangulifera,Diptera,Tachinidae
Cyrtophleba ruricola,Diptera,Tachinidae
Cyzenis jucunda,Diptera,Tachinidae
Dinera carinifrons,Diptera,Tachinidae
Epicampocera succincta,Diptera,Tachinidae
Eriothrix rufomaculatus,Diptera,Tachinidae
Eurithia connivens,Diptera,Tachinidae
Exorista rustica,Diptera,Tachinidae
Gastrolepta anthracina,Diptera,Tachinidae
Huebneria affinis,Diptera,Tachinidae
Linnaemya vulpina,Diptera,Tachinidae
Loewia nudigena,Diptera,Tachinidae
Loewia phaeoptera,Diptera,Tachinidae
Macquartia grisea,Diptera,Tachinidae
Macquartia tenebricosa,Diptera,Tachinidae
Masistylum arcuatum,Diptera,Tachinidae
Nemorilla maculosa,Diptera,Tachinidae
Onychogonia flaviceps,Diptera,Tachinidae
Onychogonia suggesta,Diptera,Tachinidae
Peribaea tibialis,Diptera,Tachinidae
Ramonda spathulata,Diptera,Tachinidae
Siphona boreata,Diptera,Tachinidae
Siphona flavifrons,Diptera,Tachinidae
Siphona sp.,Diptera,Tachinidae
Solieria inanis,Diptera,Tachinidae
Synactia parvula,Diptera,Tachinidae
Tachina fera,Diptera,Tachinidae
Tachina magnicornis,Diptera,Tachinidae
Tachina nigrohirta,Diptera,Tachinidae
Trixa conspersa,Diptera,Tachinidae
Tryphera lugubris,Diptera,Tachinidae
Chaetostomella cylindrica,Diptera,Tephritidae
Cryptaciura rotundiventris,Diptera,Tephritidae
Tephritis sp.,Diptera,Tephritidae
Andrena lapponica,Hymenoptera,Apidae s. l.
Andrena nitida,Hymenoptera,Apidae s. l.
Andrena ruficrus,Hymenoptera,Apidae s. l.
Andrena subopaca,Hymenoptera,Apidae s. l.
Anthidium punctatum,Hymenoptera,Apidae s. l.
Anthophora furcata,Hymenoptera,Apidae s. l.
Apis mellifera,Hymenoptera,Apidae s. l.
Bombus bohemicus,Hymenoptera,Apidae s. l.
Bombus cryptarum,Hymenoptera,Apidae s. l.
Bombus gerstaeckeri,Hymenoptera,Apidae s. l.
Bombus hortorum,Hymenoptera,Apidae s. l.
Bombus hypnorum,Hymenoptera,Apidae s. l.
Bombus jonellus,Hymenoptera,Apidae s. l.
Bombus lucorum-Komplex,Hymenoptera,Apidae s. l.
Bombus lucorum-Komplex cf. cryptarum,Hymenoptera,Apidae s. l.
Bombus lucorum-Komplex cf. lucorum,Hymenoptera,Apidae s. l.
Bombus mendax,Hymenoptera,Apidae s. l.
Bombus monticola,Hymenoptera,Apidae s. l.
Bombus mucidus,Hymenoptera,Apidae s. l.
Bombus pascuorum,Hymenoptera,Apidae s. l.
Bombus pratorum,Hymenoptera,Apidae s. l.
Bombus pyrenaeus,Hymenoptera,Apidae s. l.
Bombus soroeensis,Hymenoptera,Apidae s. l.
Bombus sylvestris,Hymenoptera,Apidae s. l.
Bombus wurflenii,Hymenoptera,Apidae s. l.
Chelostoma florisomne,Hymenoptera,Apidae s. l.
Dufourea alpina,Hymenoptera,Apidae s. l.
Halictus rubicundus,Hymenoptera,Apidae s. l.
Hylaeus confusus,Hymenoptera,Apidae s. l.
Hylaeus hyalinatus,Hymenoptera,Apidae s. l.
Lasioglossum albipes,Hymenoptera,Apidae s. l.
Lasioglossum calceatum,Hymenoptera,Apidae s. l.
Lasioglossum cf. bavaricum,Hymenoptera,Apidae s. l.
Lasioglossum cupromicans,Hymenoptera,Apidae s. l.
Lasioglossum fratellum,Hymenoptera,Apidae s. l.
Lasioglossum fulvicorne,Hymenoptera,Apidae s. l.
Lasioglossum laevigatum,Hymenoptera,Apidae s. l.
Megachile ligniseca,Hymenoptera,Apidae s. l.
Megachile willughbiella,Hymenoptera,Apidae s. l.
Osmia inermis,Hymenoptera,Apidae s. l.
Osmia labialis,Hymenoptera,Apidae s. l.
Osmia leaiana,Hymenoptera,Apidae s. l.
Panurginus montanus,Hymenoptera,Apidae s. l.
Sphecodes geoffrellus,Hymenoptera,Apidae s. l.
Sphecodes hyalinatus,Hymenoptera,Apidae s. l.
Pyrausta aerealis,Lepidoptera,Crambidae
Pyrausta aurata,Lepidoptera,Crambidae
Udea alpinalis,Lepidoptera,Crambidae
Udea uliginosalis,Lepidoptera,Crambidae
Hylaea fasciaria,Lepidoptera,Geometridae
Mesotype verberata,Lepidoptera,Geometridae
Perizoma blandiata,Lepidoptera,Geometridae
Pseudopanthera macularia,Lepidoptera,Geometridae
Psodos quadrifarius,Lepidoptera,Geometridae
Xanthorhoe decoloraria,Lepidoptera,Geometridae
Carterocephalus palaemon,Lepidoptera,Hesperiidae
Erynnis tages,Lepidoptera,Hesperiidae
Ochlodes sylvanus,Lepidoptera,Hesperiidae
Pyrgus malvae,Lepidoptera,Hesperiidae
Pyrgus warrenensis,Lepidoptera,Hesperiidae
Aricia agestis,Lepidoptera,Lycaenidae
Aricia artaxerxes,Lepidoptera,Lycaenidae
Cupido minimus,Lepidoptera,Lycaenidae
Lycaena hippothoe,Lepidoptera,Lycaenidae
Polyomnmatus bellargus,Lepidoptera,Lycaenidae
Polyomnmatus icarus,Lepidoptera,Lycaenidae
Polyomnmatus semiargus,Lepidoptera,Lycaenidae
Anarta myrtilli,Lepidoptera,Noctuidae
Autographa bractea,Lepidoptera,Noctuidae
Autographa gamma,Lepidoptera,Noctuidae
Chersotis cuprea,Lepidoptera,Noctuidae
Chersotis ocellina,Lepidoptera,Noctuidae
Euclidia glyphica,Lepidoptera,Noctuidae
Aglais urticae,Lepidoptera,Nymphalidae
Agynnis aglaia,Lepidoptera,Nymphalidae
Araschnia levana,Lepidoptera,Nymphalidae
Argynnis paphia,Lepidoptera,Nymphalidae
Boloria pales,Lepidoptera,Nymphalidae
Coenonympha arcania,Lepidoptera,Nymphalidae
Coenonympha gardetta,Lepidoptera,Nymphalidae
Erebia aethiops,Lepidoptera,Nymphalidae
Erebia epiphron,Lepidoptera,Nymphalidae
Erebia euryale,Lepidoptera,Nymphalidae
Erebia ligea,Lepidoptera,Nymphalidae
Erebia manto,Lepidoptera,Nymphalidae
Erebia medusa,Lepidoptera,Nymphalidae
Erebia meolans,Lepidoptera,Nymphalidae
Erebia oeme,Lepidoptera,Nymphalidae
Erebia pandrose,Lepidoptera,Nymphalidae
Erebia pharte,Lepidoptera,Nymphalidae
Erebia pronoe,Lepidoptera,Nymphalidae
Erebia sp.,Lepidoptera,Nymphalidae
Euphydryas aurorina,Lepidoptera,Nymphalidae
Euphydryas cynthia,Lepidoptera,Nymphalidae
Inachis io,Lepidoptera,Nymphalidae
Lasiommata petropolitana,Lepidoptera,Nymphalidae
Melitaea athalia,Lepidoptera,Nymphalidae
Melitaea diamina,Lepidoptera,Nymphalidae
Nymphalis urticae,Lepidoptera,Nymphalidae
Vanessa atalanta,Lepidoptera,Nymphalidae
Vanessa cardui,Lepidoptera,Nymphalidae
Papilio machaon,Lepidoptera,Papilionidae
Parnassius apollo,Lepidoptera,Papilionidae
Anthocharis cardamines,Lepidoptera,Pieridae
Colias crocea,Lepidoptera,Pieridae
Colias phicomone,Lepidoptera,Pieridae
Leptidea sinapis,Lepidoptera,Pieridae
Leptidea sinapis/reali,Lepidoptera,Pieridae
Pieris bryoniae,Lepidoptera,Pieridae
Pieris napi,Lepidoptera,Pieridae
Pieris rapae,Lepidoptera,Pieridae
Adscita gerygon,Lepidoptera,Zygaenidae
Callophrys rubi,Lepidoptera,Zygaenidae
Zygaena filipendulae,Lepidoptera,Zygaenidae
Zygaena loti,Lepidoptera,Zygaenidae
Zygaena minos/purpuralis,Lepidoptera,Zygaenidae
Zygaena transalpina,Lepidoptera,Zygaenidae
