Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,Comment
4,10,2016,Bois de Fontaret_2016,Lavandula angustifolia,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
4,10,2016,Bois de Fontaret_2016,Minuartia capillacea,15,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
4,10,2016,Bois de Fontaret_2016,Scabiosa triandra,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
4,10,2016,Bois de Fontaret_2016,Scilla autumnalis,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
4,10,2016,Bois de Fontaret_2016,Seseli montanum,15,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
4,10,2016,Bois de Fontaret_2016,Spiranthes spiralis,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
19,4,2016,Chateau Gaillard_2016,Euphorbia esula,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
20,5,2016,Chateau Gaillard_2016,Euphorbia esula,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
20,5,2016,Chateau Gaillard_2016,Helianthemum oelandicum,35,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
14,6,2016,Chateau Gaillard_2016,Anacamptis pyramidalis,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
14,6,2016,Chateau Gaillard_2016,Epipactis atrorubens,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
14,6,2016,Chateau Gaillard_2016,Euphrasia stricta,1,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
14,6,2016,Chateau Gaillard_2016,Galium pumilum,10,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
14,6,2016,Chateau Gaillard_2016,Gymnadenia conopsea,35,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
14,6,2016,Chateau Gaillard_2016,Helianthemum apenninum,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
14,6,2016,Chateau Gaillard_2016,Helianthemum nummularium,35,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
14,6,2016,Chateau Gaillard_2016,Pilosella officinarum,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #1
