Site,Area,Area_2018,Connectivity_Index,Connectivity_Index_2018,Year,Round,Date,Plot,Included,ID,Family,Genus,Gender,Visitor,Plant
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",5,SI,Butterfly,Pieridae,Pieris,,Pieris napi,Fragaria vesca
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Veronica chamaedrys
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Fragaria vesca
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus hortorum,Orchis mascula
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus hortorum,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Anthriscus sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Solitary bee,Andrenidae,Andrena,,Andrena cineraria,Anthriscus sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Honey bee,Apidae,Apis,,Apis mellifera,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Anthriscus sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Anthriscus sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Anthriscus sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",6,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Anthriscus sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus hypnorum,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Geranium dissectum
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Geranium dissectum
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",7,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Plantago lanceolata
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",7,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Anthriscus sylvestris
Gieseberg-Sud,373,353,6005,15006,2017,1,"Wednesday, 24 May 2017",7,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Anthriscus sylvestris
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Phyteuma spicatum
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Phyteuma spicatum
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Phyteuma spicatum
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",2,SI,#N/A,NA,NA,,NA,NA
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",3,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Orchis purpurea
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",4,SI,#N/A,NA,NA,,NA,NA
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",5,SI,#N/A,NA,NA,,NA,NA
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",6,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Ranunculus bulbosus
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",6,SI,Butterfly,Riodinidae,Hamearis,,Hamearis lucina,Euphorbia cyparissias
Emme,967,381,25324,10015,2017,1,"Wednesday, 24 May 2017",7,SI,#N/A,NA,NA,,NA,NA
Unter den Niederwiesen,388,406,30469,5331,2017,1,"Wednesday, 24 May 2017",1,SI,#N/A,NA,NA,,NA,NA
Unter den Niederwiesen,388,406,30469,5331,2017,1,"Wednesday, 24 May 2017",2,SI,#N/A,NA,NA,,NA,NA
Unter den Niederwiesen,388,406,30469,5331,2017,1,"Wednesday, 24 May 2017",3,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Crataegus laevigata
Unter den Niederwiesen,388,406,30469,5331,2017,1,"Wednesday, 24 May 2017",4,SI,#N/A,NA,NA,,NA,NA
Unter den Niederwiesen,388,406,30469,5331,2017,1,"Wednesday, 24 May 2017",5,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Lamium album
Unter den Niederwiesen,388,406,30469,5331,2017,1,"Wednesday, 24 May 2017",6,SI,#N/A,NA,NA,,NA,NA
Unter den Niederwiesen,388,406,30469,5331,2017,1,"Wednesday, 24 May 2017",7,SI,#N/A,NA,NA,,NA,NA
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus terrestris,Cotoneaster integerrimus
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Lotus corniculatus
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus hypnorum,Cotoneaster integerrimus
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",1,SI,Solitary bee,Solitary.bee,Solitary,,Solitary bee,Hippocrepis comosa
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",2,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Trifolium pratense
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",2,SI,Butterfly,Lycaenidae,Polyommatus,Female,Polyommatus icarus,Lotus corniculatus
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",3,SI,Solitary bee,Megachilidae,Megachile,,Megachile sp,Vicia cracca
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",3,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia cracca
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",3,SI,Butterfly,Lycaenidae,Polyommatus,,Polyommatus icarus,Vicia cracca
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",3,SI,Bumblebee,Apidae,Bombus,,Bombus pascuorum,Vicia cracca
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",4,SI,#N/A,NA,NA,,NA,NA
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",5,SI,#N/A,NA,NA,,NA,NA
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",6,SI,#N/A,NA,NA,,NA,NA
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",7,SI,Solitary bee,Megachilidae,Megachile,,Megachile sp,Lotus corniculatus
Schweinberg,902,701,2051,114,2017,1,"Monday, 29 May 2017",7,SI,Solitary bee,Megachilidae,Megachile,,Megachile sp,Lotus corniculatus
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",1,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",2,SI,Solitary bee,Andrenidae,Andrena,,Andrena sp,Sanguisorba minor
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",3,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Ajuga reptans
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",3,SI,Butterfly,Lycaenidae,Polyommatus,,Polyommatus icarus,Cornus sanguinea
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",3,SI,Butterfly,Pieridae,Pieris,,Pieris napi,Polygala comosa
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Veronica chamaedrys
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",4,SI,Butterfly,Lycaenidae,Polyommatus,Male,Polyommatus icarus,Hippocrepis comosa
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",4,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Hippocrepis comosa
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",5,SI,Butterfly,Pieridae,Anthocharis,,Anthocharis cardamines,Polygala comosa
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus pratorum,Medicago lupulina
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
Kuhberg,4739,3465,28532,10797,2017,1,"Tuesday, 30 May 2017",6,SI,Bumblebee,Apidae,Bombus,,Bombus lapidarius,Hippocrepis comosa
