Day,Month,Year,Site_id,Plant species,Flower_count,Units,Comment,
10,10,2018,Na Redona_2018,Narcissus tazetta,4,Total flowers per individual plant,NA,
11,10,2018,Na Redona_2018,Narcissus tazetta,4,Total flowers per individual plant,NA,
12,10,2018,Na Redona_2018,Narcissus tazetta,11,Total flowers per individual plant,NA,
10,10,2018,Na Redona_2018,Whitania frutescens,23,Total flowers per individual plant,NA,
10,10,2018,Na Redona_2018,Whitania frutescens,29,Total flowers per individual plant,NA,
10,10,2018,Na Redona_2018,Whitania frutescens,85,Total flowers per individual plant,NA,
10,10,2018,Na Redona_2018,Whitania frutescens,95,Total flowers per individual plant,NA,
10,10,2018,Na Redona_2018,Whitania frutescens,65,Total flowers per individual plant,NA,
10,10,2018,Na Redona_2018,Whitania frutescens,72,Total flowers per individual plant,NA,
11,10,2018,Na Redona_2018,Whitania frutescens,30,Total flowers per individual plant,NA,
11,10,2018,Na Redona_2018,Whitania frutescens,190,Total flowers per individual plant,NA,
12,10,2018,Na Redona_2018,Whitania frutescens,115,Total flowers per individual plant,NA,
12,10,2018,Na Redona_2018,Whitania frutescens,100,Total flowers per individual plant,NA,
12,10,2018,Na Redona_2018,Whitania frutescens,180,Total flowers per individual plant,NA,
12,10,2018,Na Redona_2018,Whitania frutescens,115,Total flowers per individual plant,NA,
12,10,2018,Na Redona_2018,Whitania frutescens,75,Total flowers per individual plant,NA,
12,10,2018,Na Redona_2018,Whitania frutescens,250,Total flowers per individual plant,NA,
